,MESH:D003967,MESH:D006333,MESH:D000544,MESH:D006973,MESH:D013281,MESH:D002779,MESH:D001528,MESH:D007511,MESH:D008113,MESH:D009765,MESH:D008103,MESH:D011225,MESH:D005356,MESH:D011014,MESH:D010033,MESH:D013262,MESH:D007239,MESH:D012852,MESH:D014397,MESH:D001281,MESH:D029424,MESH:D011695,MESH:D004415,MESH:D003424,MESH:D015212,MESH:D001987,MESH:D003093,MESH:D003092,MESH:D010195,MESH:D000292,MESH:D003110,MESH:D006501,MESH:D000437,MESH:D001927,MESH:D010518,MESH:D005757,MESH:D003015,MESH:D004697,MESH:D006069,MESH:D001289,MESH:D008180,MESH:D012559,MESH:D018805,MESH:D004696,MESH:D010051,MESH:D001943,MESH:D005355,MESH:D005221,MESH:D015179,MESH:D012393,MESH:D000152,MESH:D001172,MESH:D008175,MESH:D003876,MESH:D003327,MESH:D006528,MESH:D001249,MESH:D013274,MESH:D001749,MESH:D008881,MESH:D050197,MESH:D006967,MESH:D000083242,MESH:D005759,MESH:D002546,MESH:D009080,MESH:D010190,MESH:D003324,MESH:D010300,MESH:D001171,MESH:D003731,MESH:D003924,MESH:D016640,MESH:D009157,MESH:D009103,MESH:D002446,MESH:D011565,MESH:D015209,MESH:D000690,MESH:D003550,MESH:D012004,MESH:D009062,MESH:D065626,MESH:D010610,MESH:D009845,MESH:D004938,MESH:D002583,MESH:D007822,MESH:D047928,MESH:D014062,MESH:D011704,MESH:D006980,MESH:D013927,MESH:D017497,MESH:D019693,MESH:D006816,MESH:D013119,MESH:D003248,MESH:D015658,MESH:D006943,MESH:D010024,MESH:D013964,MESH:D003922,MESH:D012859,MESH:D000067877,MESH:D002318,MESH:D010019,MESH:D001321,MESH:D000163,MESH:D054198,MESH:D000086382,MESH:D018442,MESH:D002481,MESH:D004761,MESH:D014552,MESH:D002292,MESH:D007669,MESH:D045169,MESH:D006949,MESH:D001170,MESH:D001714,MESH:D011471,MESH:D011085,MESH:D012595,MESH:D051436,MESH:D006526,MESH:D020345,MESH:D006258,MESH:D003865,MESH:D052878,MESH:D053713,MESH:D006509,MESH:D016889,MESH:D018856,MESH:D014890,MESH:D010392,MESH:D016585,MESH:D056586,MESH:D007918,MESH:D013167,MESH:D015352,MESH:D024821,MESH:D017726,MESH:D015535,MESH:D007634,MESH:D008105,MESH:D014376,MESH:D010510,MESH:D011236,MESH:D015817,MESH:D010003,MESH:D013585,MESH:D000077195,MESH:D010505,MESH:D005706
MESH:D003967,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10345,0.0,0.097826,0.045455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444,0.032967,0.0375,0.46667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035294,0.0,0.0,0.0,0.10345,0.31034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021277,0.0,0.0,0.0,0.0096618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESH:D006333,0.0,1.0,0.0,0.14286,0.0,0.0,0.029197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20455,0.0,0.02521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14286,0.0,0.0,0.0,0.0,0.0,0.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093,0.0,0.0,0.0,0.0,0.0,0.084746,0.0,0.055249,0.0,0.055249,0.051724,0.0,0.12821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESH:D000544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082418,0.026667,0.30508,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.050847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09465,0.0,0.0,0.07541,0.0,0.07541,0.0,0.0,0.0,0.12222,0.0,0.0,0.0,0.0,0.05303,0.022346,0.0,0.0,0.0,0.077922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23611,0.070588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.024793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESH:D006973,0.0,0.14286,0.0,1.0,0.0,0.0,0.087591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068182,0.0,0.07563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057143,0.0,0.0,0.0,0.0,0.0,0.14286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093,0.0,0.0,0.0,0.0,0.0,0.25424,0.0,0.16575,0.0,0.16575,0.15517,0.0,0.12821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESH:D013281,0.0,0.0,0.0,0.0,1.0,0.0,0.086747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20455,0.0,0.042553,0.0,0.0,0.0,0.0,0.0,0.10435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESH:D002779,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.053571,0.0,0.068182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033708,0.047619,0.0,0.021277,0.045455,0.10345,0.0,0.013717,0.02459,0.0,0.0,0.0,0.033708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015113,0.0,0.0,0.0,0.0,0.0,0.0,0.026667,0.0,0.027972,0.0,0.0,0.0,0.0,0.0,0.10345,0.0,0.0,0.036585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032967,0.0,0.34426,0.0,0.043478,0.013717,0.0,0.066667,0.0,0.0,0.023529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408,0.033708,0.0,0.0,0.0,0.0,0.020408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083916
MESH:D001528,0.0,0.029197,0.0,0.087591,0.086747,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075949,0.0,0.0,0.0,0.016842,0.0,0.14452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086747,0.0,0.0,0.020725,0.0,0.0,0.025696,0.0,0.0,0.029197,0.0,0.050955,0.0,0.0,0.0,0.087591,0.051836,0.013722,0.0,0.1141,0.050955,0.0,0.0,0.0,0.0,0.0,0.043165,0.0,0.0375,0.0,0.0375,0.21092,0.0,0.033771,0.0,0.013722,0.028916,0.0,0.0,0.0,0.0,0.0,0.057831,0.0,0.0,0.063047,0.0,0.10191,0.0,0.02773,0.0,0.0,0.0,0.0,0.0,0.068571,0.0,0.0,0.057831,0.027907,0.0,0.031957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057024,0.0,0.093023,0.0,0.0,0.0,0.0,0.0,0.0,0.020797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12833,0.050955,0.0,0.025678,0.0,0.0,0.021898,0.0,0.007728,0.030201,0.021898,0.0,0.0,0.11679,0.0,0.037694,0.0,0.0,0.0,0.13494,0.0
MESH:D007511,0.10345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.055556,0.2093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20455,0.16854,0.063025,0.10345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18072,0.0,0.0,0.0,0.42857,0.14286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10791,0.0,0.0,0.0,0.016207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESH:D008113,0.0,0.0,0.0,0.0,0.0,0.053571,0.0,0.0,1.0,0.0,0.17143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035461,0.044118,0.0,0.025907,0.042857,0.072727,0.0,0.12487,0.086207,0.0,0.0,0.0,0.035461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041379,0.12857,0.0,0.0,0.12974,0.0,0.0,0.0,0.054545,0.0,0.0,0.60891,0.0,0.2,0.028846,0.0,0.0,0.0,0.0,0.072727,0.0,0.0,0.24074,0.0,0.0,0.0,0.0,0.0,0.0,0.039063,0.0,0.034965,0.0,0.044248,0.0,0.042105,0.12487,0.085714,0.16071,0.046632,0.0,0.18919,0.026316,0.041475,0.0,0.053892,0.0,0.0,0.0,0.0,0.10638,0.0,0.0,0.0,0.0,0.0,0.0,0.06383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014634,0.0,0.014124,0.0,0.028986,0.0,0.021067,0.0,0.0,0.0,0.0,0.0,0.032258,0.01937,0.0,0.0,0.075377,0.035461,0.16364,0.0,0.0,0.0,0.075377,0.031646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.083916,0.0,0.2
MESH:D009765,0.097826,0.0,0.0,0.0,0.0,0.0,0.0,0.055556,0.0,1.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02459,0.01626,0.022059,0.097826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094,0.0,0.0,0.0,0.055556,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016529,0.013245,0.0,0.0,0.02439,0.0,0.0,0.0098522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097826,0.0,0.032609,0.02459,0.0,0.013423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011561,0.0,0.0,0.0,0.0058394,0.0,0.021505,0.0,0.0,0.0,0.0,0.0,0.010724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041667,0.0,0.0,0.0,0.011236,0.0,0.0,0.016529,0.0,0.0,0.0,0.0,0.0,0.0
