drug_name,pubchem_id,smile,micro_name,micro_tid,dis_Sname,dis_MESH
Cephalosporins,65536,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CCCC(C(=O)O)N)SC1)C(=O)O,Lactobacillus,1578,Diarrhea,MESH:D003967
Cephalosporins,65536,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CCCC(C(=O)O)N)SC1)C(=O)O,Bifidobacterium,1678,Diarrhea,MESH:D003967
Cephalosporins,65536,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CCCC(C(=O)O)N)SC1)C(=O)O,Lactobacillus,1578,Heart Failure,MESH:D006333
Colchicine,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Clostridium sp.,1506,Alzheimer Disease,MESH:D000544
Colchicine,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Clostridium sp.,1506,Hypertension,MESH:D006973
Colchicine,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Clostridium sp.,1506,"Stomatitis, Aphthous",MESH:D013281
Colchicine,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Clostridium sp.,1506,Cholestasis,MESH:D002779
Colchicine,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,Clostridium sp.,1506,Behcet Syndrome,MESH:D001528
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Bacteroides ovatus,28116,Ischemia,MESH:D007511
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Bacteroides caccae,47678,Liver Neoplasms,MESH:D008113
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Phocaeicola vulgatus,821,Liver Neoplasms,MESH:D008113
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Prevotella copri,165179,Liver Neoplasms,MESH:D008113
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Bacteroides ovatus,28116,Liver Neoplasms,MESH:D008113
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Phocaeicola vulgatus,821,Diarrhea,MESH:D003967
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Phocaeicola vulgatus,821,Obesity,MESH:D009765
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Prevotella copri,165179,Obesity,MESH:D009765
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Bacteroides xylanisolvens,371601,Obesity,MESH:D009765
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Bacteroides ovatus,28116,Obesity,MESH:D009765
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Odoribacter splanchnicus,28118,Obesity,MESH:D009765
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Bacteroides thetaiotaomicron,818,Hypertension,MESH:D006973
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Streptococcus salivarius,1304,Liver Cirrhosis,MESH:D008103
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Parabacteroides distasonis,823,Liver Cirrhosis,MESH:D008103
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Parabacteroides merdae,46503,Liver Cirrhosis,MESH:D008103
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Odoribacter splanchnicus,28118,Liver Cirrhosis,MESH:D008103
Diethylstilbestrol,448537,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Clostridium perfringens,1502,Pre-Eclampsia,MESH:D011225
Cyclobenzaprine hydrochloride,22576,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,Bacteroides uniformis,820,Fibromyalgia,MESH:D005356
Naringin,442428,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,Escherichia coli,562,Pneumonia,MESH:D011014
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Klebsiella,570,Otitis Media,MESH:D010033
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Corynebacterium,1716,Otitis Media,MESH:D010033
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Streptococcus,1301,Otitis Media,MESH:D010033
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,Otitis Media,MESH:D010033
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Fusobacterium,848,Otitis Media,MESH:D010033
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,Stevens-Johnson Syndrome,MESH:D013262
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Pseudomonas,286,Stevens-Johnson Syndrome,MESH:D013262
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Enterobacteriaceae,543,Infections,MESH:D007239
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Mycobacterium avium,1764,Infections,MESH:D007239
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Parabacteroides merdae,46503,Infections,MESH:D007239
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Enterobacteriaceae,543,Sinusitis,MESH:D012852
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bifidobacterium adolescentis,1680,"Tuberculosis, Pulmonary",MESH:D014397
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Lactobacillus,1578,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bifidobacterium,1678,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Collinsella aerofaciens,74426,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bifidobacterium longum,216816,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bacteroides uniformis,820,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Phocaeicola vulgatus,821,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Coprococcus comes,410072,Diarrhea,MESH:D003967
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Enterobacteriaceae,543,Pneumonia,MESH:D011014
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,Pneumonia,MESH:D011014
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,Atrial Fibrillation,MESH:D001281
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Klebsiella,570,Hypertension,MESH:D006973
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bifidobacterium,1678,Hypertension,MESH:D006973
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Streptococcus,1301,Hypertension,MESH:D006973
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Veillonella,29465,Hypertension,MESH:D006973
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Bacteroides thetaiotaomicron,818,Hypertension,MESH:D006973
Clarithromycin,84029,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,Clostridium,1485,Hypertension,MESH:D006973
